fire_year,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,county,discovery_date,cont_date
2005,"Debris Burning",17.0,C,48.96666667,-115.20666667,MT,53,2453492.5,2453492.5
2005,Campfire,0.1,A,48.96444444,-115.18583333,MT,53,2453519.5,2453519.5
2005,Miscellaneous,3.0,B,48.89444444,-115.16527778,MT,53,2453552.5,2453552.5
2005,"Debris Burning",0.25,A,48.81694444,-115.11138889,MT,53,2453556.5,2453556.5
2005,Miscellaneous,0.1,A,48.9625,-115.08555556,MT,53,2453554.5,2453554.5
2005,Campfire,0.5,B,35.23638889,-112.21638889,AZ,5,2453506.5,2453506.5
2005,"Debris Burning",0.1,A,41.03722222,-123.53305556,CA,,2453548.5,2453548.5
2005,Miscellaneous,0.25,A,44.33555556,-106.95194444,WY,19,2453474.5,2453474.5
2005,Lightning,0.1,A,45.55444444,-118.10194444,OR,61,2453539.5,2453540.5
2005,"Equipment Use",0.1,A,48.28222222,-115.51055556,MT,53,2453503.5,2453503.5
2005,Campfire,0.1,A,48.41666667,-115.54611111,MT,53,2453561.5,2453561.5
2005,Campfire,0.1,A,48.34888889,-115.49083333,MT,53,2453554.5,2453555.5
2005,Campfire,0.1,A,48.40833333,-115.55833333,MT,53,2453560.5,2453560.5
2005,"Equipment Use",0.1,A,32.56055556,-109.7725,AZ,9,2453508.5,2453508.5
2005,Miscellaneous,0.3,B,48.22805556,-115.48027778,MT,53,2453555.5,
2005,Lightning,45.6,C,32.46722222,-104.94166667,NM,5,2453558.5,2453559.5
2005,Lightning,0.5,B,32.68555556,-109.86916667,AZ,9,2453547.5,2453547.5
2005,Miscellaneous,0.1,A,34.17444444,-117.765,CA,,2453484.5,2453484.5
2005,Children,0.5,B,34.15388889,-117.84111111,CA,,2453554.5,2453554.5
2005,Lightning,0.1,A,44.98861111,-118.93888889,OR,23,2453542.5,2453542.5
2005,"Debris Burning",0.1,A,38.98388889,-120.8025,CA,,2453546.5,2453546.5
2005,Campfire,0.1,A,44.01277778,-103.3825,SD,103,2453372.5,2453372.5
2005,Lightning,0.1,A,36.01666667,-106.71666667,NM,43,2453517.5,2453518.5
2005,Lightning,0.1,A,42.62083333,-120.845,OR,37,2453546.5,2453546.5
2005,Arson,0.1,A,32.75361111,-109.83138889,AZ,9,2453565.5,2453565.5
2005,"Debris Burning",0.1,A,38.70027778,-119.84055556,CA,3,2453496.5,2453499.5
2005,Arson,0.01,A,38.45361111,-119.45861111,CA,51,2453559.5,2453559.5
2005,Lightning,0.1,A,36.66944444,-107.25361111,NM,39,2453532.5,2453532.5
2005,Lightning,0.25,A,36.87638889,-107.21916667,NM,39,2453543.5,2453543.5
2005,Railroad,0.1,A,48.45833333,-115.66666667,MT,53,2453553.5,2453553.5
2005,Campfire,0.1,A,48.40833333,-115.55833333,MT,53,2453553.5,2453553.5
2005,"Debris Burning",1.2,B,48.76666667,-114.87833333,MT,53,2453485.5,2453485.5
